YEAR,MO,DY,T2M,RH2M,WS50M_MAX,WS50M_MIN,WS50M
1982,6,3,29.17,77.38,3.6,0.7,2.09
1982,6,4,28.75,77.69,2.8,0.44,1.75
1982,6,5,28.73,76.62,3.94,0.5,1.92
1982,6,6,27.68,84.06,5.79,3.21,4.25
1982,6,7,28.17,81,5.27,2.1,3.7
1982,6,8,28.57,78.88,4.38,1.38,3
1982,6,9,28.44,82.56,5.44,2.54,4.12
1982,6,10,28.12,77.62,4.47,0.72,2.6
1982,6,11,29.03,70.62,5.4,1.12,3.54
1982,6,12,29.13,76.38,5.27,3.04,4.06
1982,6,13,27.65,82.12,6.16,0.47,3.28
1982,6,14,27.33,80.81,3.59,1.39,2.37
1982,6,15,26.87,80.44,2.17,0.19,0.97
1982,6,16,26.74,80.69,2.77,0.49,1.82
1982,6,17,27.7,76.81,3.3,0.34,1.75
1982,6,18,28.37,74.06,4.47,1.17,2.41
1982,6,19,28.69,74.38,4.96,0.09,3.11
1982,6,20,28.58,73.88,4.62,0.76,3.03
1982,6,21,28.66,74.94,4.16,0.98,2.82
1982,6,22,27.94,76.75,2.93,0.03,1.89
1982,6,23,27.67,77.5,2.47,0.59,1.48
1982,6,24,28.76,72.38,3.24,0.12,1.96
1982,6,25,28.69,70,2.83,1.09,1.98
1982,6,26,28.88,73.19,3.17,0.59,1.94
1982,6,27,28.48,74.88,1.61,0.34,1.02
1982,6,28,28.87,71.44,2.55,0.16,1.05
1982,6,29,28.6,74.31,4.45,1.23,2.97
1982,6,30,27.89,80.69,6.11,3.65,4.75
1982,7,1,27.94,81.81,5.55,3.62,4.5
1982,7,2,27.8,83.75,4.5,2.69,3.79
1982,7,3,27.48,81.94,3.68,1.95,2.8
1982,7,4,27.65,78.94,3.6,2.23,2.94
1982,7,5,27.9,79.19,4.82,3.01,3.64
1982,7,6,27.33,82.44,5.68,2.15,3.99
1982,7,7,27.44,78.62,6.57,1.97,4.54
1982,7,8,26.87,82.19,4.13,1.98,3.12
1982,7,9,26.74,85.88,4.94,2.3,4.02
1982,7,10,27.25,82.88,4.62,1.33,3.36
1982,7,11,27.88,81.38,4.29,1.68,3.44
1982,7,12,28.04,80.25,5.16,0.48,3.37
1982,7,13,27.34,82.5,4.13,0.28,2.5
1982,7,14,28.08,73.88,3.45,0.3,2.31
1982,7,15,27.46,79.56,3.43,1.02,2.59
1982,7,16,27.48,77.88,3.89,0.93,2.17
1982,7,17,27.77,74.88,4.17,2.31,3.2
1982,7,18,27.01,80.62,3.89,1.78,2.95
1982,7,19,26.77,79.81,2.34,0.69,1.61
1982,7,20,26.88,76.19,3.34,0.49,1.95
1982,7,21,26.05,78.19,2.17,0.45,1.05
1982,7,22,26.99,77.56,3.61,0.95,2.3
1982,7,23,27.48,80.31,3.43,2.07,2.96
1982,7,24,27.64,80.69,4.52,1.41,3.03
1982,7,25,27.79,77.38,4.56,1.3,3.02
1982,7,26,28.07,73.12,5.19,1.54,3.45
1982,7,27,28,74.62,4.88,2.35,3.54
1982,7,28,28,72.19,5.09,2.82,4.17
1982,7,29,28.11,75.69,5.8,2.59,4.3
1982,7,30,28.28,77.31,6.23,1.23,4.34
1982,7,31,28.06,78,6.55,1.81,4.29
1982,8,1,27.73,81,5.5,2.27,4.4
1982,8,2,27.54,81.75,4.36,0.84,2.52
1982,8,3,27.76,81,4.14,0.5,2.71
1982,8,4,28.16,76.81,4.89,0.3,2.74
1982,8,5,28.26,74.25,2.76,1.33,1.81
1982,8,6,27.01,83.56,3.69,1.53,2.54
1982,8,7,27.25,82.62,4.88,2.66,4.29
1982,8,8,27.51,78.31,4.61,0.46,2.95
1982,8,9,27.65,78.44,4.63,1.28,3.28
1982,8,10,27.16,81.44,4.88,2.07,3.91
1982,8,11,27.26,80.31,3.22,1.17,2.31
1982,8,12,27.08,81.12,3.74,1.23,2.73
1982,8,13,27.54,79.81,3.71,0.59,2.61
1982,8,14,27.58,81.44,4.41,1.55,3.16
1982,8,15,27.99,79.5,4.71,0.44,2.72
1982,8,16,27.62,78.94,4.51,1.82,2.9
1982,8,17,27.48,77.38,3.2,0.8,1.72
1982,8,18,27.64,80.56,4.59,2.2,3.08
1982,8,19,27.83,81.31,5.96,2.84,4.51
1982,8,20,27.57,82.12,5.48,2.1,3.8
1982,8,21,27.46,81.38,3.95,0.31,2.34
1982,8,22,26.8,85.38,4.33,2.66,3.34
1982,8,23,27.28,79.56,4.28,0.22,2.4
1982,8,24,27.91,76,3.59,0.1,2.08
1982,8,25,27.07,83.44,5.42,1.86,3.5
1982,8,26,27.82,78.31,2.84,1.3,2.13
1982,8,27,27.07,86.06,5.95,1.84,4.1
1982,8,28,26.53,85.81,4.08,1.22,2.91
1982,8,29,27.36,75.81,3.78,0.08,1.84
1982,8,30,27.42,76.81,3.46,1.09,2.43
1982,8,31,27.83,75.81,2.94,1.7,2.18
1982,9,1,28.02,75,4.16,1.19,2.62
1982,9,2,27.84,73.5,3.88,0.76,2.6
1982,9,3,27.91,74.12,2.84,0.98,2.13
1982,9,4,27.76,76.81,2.67,0.31,1.44
1982,9,5,27.84,78,3.44,0.25,2.18
1982,9,6,28.37,75.5,3.55,0.08,1.62
1982,9,7,28.51,74.94,2.75,0.21,1.65
1982,9,8,28.01,81.12,4.89,1.81,3.26
1982,9,9,27.88,83.25,5.2,2.23,3.8
1982,9,10,27.62,81.31,3.88,0.47,2.08
1982,9,11,27.48,79.06,2.84,0.12,1.62
1982,9,12,27.72,79.31,3.32,0.41,1.75
1982,9,13,27.27,84.88,3.88,0.55,2.69
1982,9,14,26.94,82.75,3.97,1.3,2.59
1982,9,15,26.23,85.25,3.21,0.57,2.03
1982,9,16,26.58,83.62,3.6,0.84,2.61
1982,9,17,27.3,80.25,3.27,1.91,2.53
1982,9,18,27.8,75.38,3.55,0.4,2.08
1982,9,19,28.1,73.69,2.94,0.48,1.73
1982,9,20,27.68,78.62,5.29,1.37,3.04
1982,9,21,27.36,82.38,5.47,1.21,3.4
1982,9,22,26.95,83.31,4.48,0.53,2.93
1982,9,23,26.49,83.69,4.48,0.63,3.09
1982,9,24,26.37,82.38,3.5,1.35,2.45
1982,9,25,26.98,79.81,3.25,1.59,2.67
1982,9,26,27.06,80.19,4.15,1.46,2.73
1982,9,27,27.19,77.94,3.45,0.18,1.91
1982,9,28,27.38,79.56,4.52,1.02,2.8
1982,9,29,27.12,80.06,3.67,1.35,2.49
1982,9,30,27.24,76.06,3.95,0.48,2.13
1982,10,1,27.39,72.38,2.75,0.09,1.45
1982,10,2,27.51,73.56,3.25,0.77,1.92
1982,10,3,27.49,73.88,2.98,0.45,1.64
1982,10,4,27.72,74.75,4.23,1.06,2.15
1982,10,5,27.58,76.38,3.77,0.8,2.47
1982,10,6,26.59,82,2.84,1.17,1.93
1982,10,7,27.47,78.12,3.29,0.7,2.14
1982,10,8,27.33,79.06,3.8,0.52,2.13
1982,10,9,27.2,79.56,3.75,1,2.03
1982,10,10,25.95,87.38,3.02,1.94,2.41
1982,10,11,26.67,82.06,4.38,2.17,3.6
1982,10,12,26.67,81.56,3.77,1.02,2.31
1982,10,13,26.75,82.31,3.38,0.84,2.45
1982,10,14,26.76,83.62,3.54,2.11,3.09
1982,10,15,26.91,79.94,3.7,0.82,2.47
1982,10,16,26.62,81.69,5.02,1.8,3.2
1982,10,17,27.04,78.88,3.24,1.57,2.26
1982,10,18,27.29,77.69,3.7,0.59,1.73
1982,10,19,27.4,84.88,7.23,2.45,4.19
1982,10,20,27.76,80.06,7.3,1.61,3.71
1982,10,21,27.66,76.81,3.16,0.91,2.11
1982,10,22,27.9,75.81,4.19,0.62,2.82
1982,10,23,27.98,75,3.41,1.98,2.46
1982,10,24,27.83,77.5,3.02,1.63,2.33
1982,10,25,27.62,75.44,3.61,1.05,2.26
1982,10,26,27.3,76.06,3.55,0.73,2.3
1982,10,27,27.32,76.62,3.95,0.38,2.8
1982,10,28,27.36,77.12,3.63,1.93,2.77
1982,10,29,27.05,79.81,3.04,1.01,1.8
1982,10,30,26.63,83.38,3.48,1.09,2.46
1982,10,31,26.99,78.88,3.59,1.66,2.8
1982,11,1,26.87,79.69,6.34,0.65,3.55
1982,11,2,27.26,77.19,5.55,3.54,4.51
1982,11,3,26.91,78,5.32,2.89,4.24
1982,11,4,26.58,76.44,6.26,2.27,4.12
1982,11,5,26.42,82.19,4.97,1.71,3.57
1982,11,6,26.24,86,4.16,3.42,3.92
1982,11,7,26.62,82.44,3.52,1.15,2.3
1982,11,8,26.9,81.06,3.28,1.63,2.57
1982,11,9,27.2,80.44,3.79,1.49,2.9
1982,11,10,27.15,80.38,3.76,1.23,2.36
1982,11,11,27.08,80.31,3.2,2.27,2.7
1982,11,12,27.13,77.56,4.27,0.11,2
1982,11,13,26.38,81.12,3.02,0.8,2
1982,11,14,27.53,76.12,2.8,1.3,2.16
1982,11,15,28.36,72,3.52,1.35,2.23
1982,11,16,28.22,72.31,4.41,1.2,2.78
1982,11,17,27.62,77.75,4.2,1.51,3.06
1982,11,18,27.58,79.56,3.52,1.72,2.38
1982,11,19,27.53,78.19,3.16,1.3,2.13
1982,11,20,27.13,81.06,4.33,1.66,3.1
1982,11,21,27.37,80,4.29,2.45,3.54
1982,11,22,27.14,81.69,4.16,2.63,3.27
1982,11,23,27.31,81.94,5.45,0.99,2.88
1982,11,24,27.05,79.69,6.87,3.77,4.59
1982,11,25,27,82.31,4.46,2.7,3.8
1982,11,26,27.45,81.19,3.88,2.74,3.28
1982,11,27,27.25,83.38,3.48,1.52,2.57
1982,11,28,27.03,83.75,2.72,1.56,2.02
1982,11,29,26.9,84.81,3.68,1.96,2.67
1982,11,30,26.92,83.94,4.25,1.7,3.16
1982,12,1,26.69,85,3.77,1.42,2.79
1982,12,2,26.76,84.88,5.28,2.47,3.96
1982,12,3,27,82.56,5.73,3.88,4.92
1982,12,4,27.19,80.19,4.07,2.25,3.33
1982,12,5,27.17,82.19,4.86,3.83,4.36
1982,12,6,26.75,84.75,6.05,3.85,4.56
1982,12,7,26.14,86.31,6.3,2.26,4.23
1982,12,8,26.18,85.62,6.73,3.26,5.27
1982,12,9,26.55,83.5,4.72,2.83,3.74
1982,12,10,26.55,82,4.04,2.52,3.4
1982,12,11,26.4,84.81,5.33,1.42,3.5
1982,12,12,26.51,81.69,8.28,3.97,5.55
1982,12,13,26.73,82.44,9.42,6.52,7.79
1982,12,14,26.85,86.75,9.97,7.12,8.51
1982,12,15,26.55,86.44,8.83,5.48,7.03
1982,12,16,26.5,87.44,8.05,6.18,6.88
1982,12,17,26.5,86.75,7.73,6.7,7.26
1982,12,18,26.26,84.62,8.71,6.96,7.79
1982,12,19,25.75,83,9.58,6.7,8.13
1982,12,20,25.49,82.5,8.51,7.02,7.75
1982,12,21,25.56,84.31,7.56,5.93,6.76
1982,12,22,25.92,85.56,8.09,6.53,7.57
1982,12,23,25.9,86.44,8.19,6.43,7.27
1982,12,24,26.19,85.81,7.26,5.34,6.16
1982,12,25,25.78,89.88,7.09,4.49,5.54
1982,12,26,25.48,90.25,7.26,4.95,6.39
1982,12,27,25.04,86.56,7.76,6.62,7.16
1982,12,28,24.97,84.69,6.87,5.41,6.12
1982,12,29,25.1,83.69,5.52,4.45,5.08
1982,12,30,25.4,83.69,4.95,3.23,3.95
1982,12,31,25.59,84.5,4.52,2.8,3.66
1983,1,1,25.78,86.94,3.83,1.96,2.78
1983,1,2,25.73,87.19,4.98,2.93,3.86
1983,1,3,25.92,84,5.33,1.95,3.93
1983,1,4,25.79,88.31,5.52,4.04,4.83
1983,1,5,25.42,87.75,4.03,3.2,3.62
1983,1,6,25.41,88.94,3.84,2.34,3.14
1983,1,7,25.43,87.81,4.43,1.62,3.12
1983,1,8,25.34,86.12,3.88,1.25,2.73
1983,1,9,25.48,85.25,6.01,2.47,3.92
1983,1,10,25.94,88.06,8.44,6.1,7.46
1983,1,11,25.77,88.5,9.11,5.5,7.5
1983,1,12,25.82,87.06,8.77,6.88,7.77
1983,1,13,25.7,86,7.5,5.44,6.55
1983,1,14,25.83,85.56,8.28,4.75,6.85
1983,1,15,26.13,84.62,9.66,7.42,8.38
1983,1,16,25.98,85.88,7.92,6.73,7.43
1983,1,17,25.8,82.69,7.41,4.54,6.13
1983,1,18,25.41,82.19,5.88,3.5,4.62
1983,1,19,25.59,83.19,5.44,3.24,4.02
1983,1,20,25.73,84.06,6.15,3.63,5.03
1983,1,21,25.54,85.5,6.61,4.3,5.37
1983,1,22,25.78,84.88,8.88,6.37,7.53
1983,1,23,25.17,84.5,9.78,7.16,8.2
1983,1,24,24.85,82.5,8.71,6.3,7.48
1983,1,25,24.62,80.81,8.05,5.91,6.71
1983,1,26,24.56,80.94,6.77,4.96,5.81
1983,1,27,24.65,82.06,5.52,4.43,4.83
1983,1,28,25.3,82.81,4.88,3.2,3.98
1983,1,29,26.45,79.69,4.12,2.83,3.41
1983,1,30,26.28,83.38,3.93,0.95,2.53
1983,1,31,26.06,82.94,3.71,1.92,2.78
1983,2,1,26.02,81.56,3.35,1.52,2.66
1983,2,2,26.2,84.12,3.69,2.09,2.65
1983,2,3,25.72,84.5,3.38,2.1,2.7
1983,2,4,25.66,82.88,5.03,2.31,3.99
1983,2,5,26.2,71.62,5.05,2.86,3.85
1983,2,6,26.08,75.5,4.11,2.04,3.02
1983,2,7,25.45,83,4.12,2.42,3.22
1983,2,8,25.77,83.06,4.55,3.09,3.7
1983,2,9,25.65,80.5,5.25,3.93,4.46
1983,2,10,26.06,79.5,4.77,3.32,4.16
1983,2,11,25.94,77.25,4.2,2.23,3.18
1983,2,12,26.55,82.75,5.34,2.12,3.78
1983,2,13,26.43,85.5,6.69,3.38,5.22
1983,2,14,26.27,83.81,6.32,5.09,5.79
1983,2,15,25.85,84.25,4.91,3.31,3.84
1983,2,16,26.43,82.62,4.56,0.82,2.75
1983,2,17,26.48,80.81,3.92,0.82,2.38
1983,2,18,26.43,82.81,5.12,2.48,3.53
1983,2,19,26.71,82.62,5.1,2.53,4.24
1983,2,20,27.01,78.56,4.48,3.05,3.93
1983,2,21,26.62,80.5,4.19,2.35,3.52
1983,2,22,26.69,78.06,5.73,3.49,4.77
1983,2,23,26.44,79.12,5.49,4.34,4.76
1983,2,24,26.22,85.94,4.84,3.77,4.23
1983,2,25,26.47,84.06,5.54,4.85,5.1
1983,2,26,26.52,80.19,6.3,4.1,5.21
1983,2,27,26.51,75.62,5.6,3.84,4.56
1983,2,28,26.73,74.38,4.34,3.38,3.75
1983,3,1,26.49,74.62,3.98,3.21,3.56
1983,3,2,26.3,77.69,3.93,2.11,2.98
1983,3,3,26.51,77,3.8,1.72,3.13
1983,3,4,26.57,74.31,3.86,2.76,3.39
1983,3,5,26.31,79.06,6.08,3.27,5
1983,3,6,26.21,81.44,6.68,4.48,5.38
1983,3,7,26.33,82.81,6.73,5.5,5.97
1983,3,8,26.66,81.25,5.22,4.16,4.7
1983,3,9,26.98,76.94,5.01,3.95,4.36
1983,3,10,26.82,76.94,4.17,2.88,3.61
1983,3,11,26.95,81.94,4.17,1.77,2.85
1983,3,12,27.24,80.38,3.87,1.23,2.84
1983,3,13,27.41,78.81,4.84,0.57,2.63
1983,3,14,27.36,80.88,4.76,2.61,3.82
1983,3,15,27.74,77.94,4.12,2.97,3.52
1983,3,16,27.48,78.06,4.89,2.56,3.59
1983,3,17,27.46,78.56,5.09,3,4.11
1983,3,18,27.74,82.69,6.74,5.17,6.22
1983,3,19,27.48,84.5,7.59,5.64,6.4
1983,3,20,27.6,81,5.19,3.77,4.2
1983,3,21,27.56,82.81,5.1,1,3.3
1983,3,22,27.62,81.44,3.39,2.09,2.82
1983,3,23,27.45,82.06,4.71,0.59,2.41
1983,3,24,27.54,81.19,3.74,0.99,2.94
1983,3,25,27.88,77.56,3.88,1.48,2.66
1983,3,26,27.97,75.44,4.29,0.96,2.92
1983,3,27,28.19,80.31,4.45,3.4,3.92
1983,3,28,28.23,77.88,3.8,1.72,2.74
1983,3,29,28.31,73,4.87,1.45,2.8
1983,3,30,27.83,76.19,4.48,1.47,3.32
1983,3,31,27.73,77.44,4.38,3.09,3.75
1983,4,1,28.34,72.81,4.64,2.98,3.55
1983,4,2,28.3,70.5,3.73,2.03,2.88
1983,4,3,28.35,73.94,4,1.49,2.74
1983,4,4,28.22,74.56,4.33,1.06,2.45
1983,4,5,28.25,74.75,4.66,0.94,2.48
1983,4,6,28.5,73.44,4.48,0.85,2.39
1983,4,7,28.57,72.38,4.37,0.61,2.61
1983,4,8,28.51,71.94,4.38,0.17,2.69
1983,4,9,28.82,76,4.48,2.66,3.44
1983,4,10,29.3,74.31,6.09,3.32,4.51
1983,4,11,29.13,74.44,5.45,0.77,3.73
1983,4,12,29.15,77.25,5.81,2.05,4.19
1983,4,13,29.12,77.19,4.8,1.84,3.66
1983,4,14,29.18,78.25,4.9,2.8,3.59
1983,4,15,28.96,78.12,4.48,1.67,3.09
1983,4,16,28.8,78.69,4.83,2.55,3.62
1983,4,17,28.48,73.88,5.58,2.29,3.72
1983,4,18,28.5,68.62,5.07,2.77,3.68
1983,4,19,28.84,67.69,5.01,2.05,3.45
1983,4,20,28.21,71.75,4.24,2.66,3.48
1983,4,21,28.59,75.31,4.52,2.2,3.27
1983,4,22,28.83,75.75,5.03,2.89,3.97
1983,4,23,28.4,76.44,5.72,2.98,4.08
1983,4,24,28.83,73.94,5.12,2.81,3.85
1983,4,25,29.14,75.56,4.8,3.18,4.01
1983,4,26,28.54,78.38,5.57,2.95,3.73
1983,4,27,28.54,72.38,6.98,3.76,4.69
1983,4,28,28.86,74.31,4.95,3.65,4.25
1983,4,29,28.41,80,4.3,2.16,3.48
1983,4,30,28.43,78.38,5.82,1.27,2.77
1983,5,1,28.19,78.5,3.89,2.04,2.84
1983,5,2,28.13,78,4.05,1.57,2.86
1983,5,3,28.25,78.06,4.95,3.2,3.98
1983,5,4,27.91,79.38,4.27,3.59,3.95
1983,5,5,28.3,77.56,3.75,2.07,2.97
1983,5,6,28.56,75,4.34,2.02,3.1
1983,5,7,28.55,76.88,4.38,1.96,3.19
1983,5,8,28.4,79.12,3.68,1.88,3.02
1983,5,9,28.16,77.5,4.12,1.73,2.97
1983,5,10,28.4,77.38,5.65,2.6,3.8
1983,5,11,28.46,77.69,5.47,2.7,3.89
1983,5,12,28.8,79.25,5.14,0.87,3.5
1983,5,13,29.08,78.56,5.16,0.88,3.09
